label,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
A,0.412192,0.696941,-0.000000,0.461911,0.682118,-0.028677,0.510830,0.608941,-0.035585,0.530329,0.534971,-0.038011,0.548803,0.488424,-0.033714,0.490557,0.532113,-0.015277,0.495925,0.506426,-0.037186,0.483977,0.565506,-0.042265,0.475879,0.568703,-0.044246,0.450576,0.522910,-0.009435,0.451664,0.506082,-0.034723,0.449894,0.582056,-0.032716,0.449891,0.576513,-0.025758,0.413238,0.527635,-0.009033,0.410805,0.519353,-0.035913,0.418563,0.587339,-0.023593,0.422105,0.582589,-0.010124,0.378350,0.538058,-0.011046,0.378119,0.551528,-0.026906,0.388469,0.596406,-0.020110,0.392564,0.591163,-0.011534
A,0.403385,0.696770,-0.000000,0.449527,0.683944,-0.030273,0.495071,0.615242,-0.038253,0.510926,0.543517,-0.041027,0.530030,0.500972,-0.037065,0.477447,0.543174,-0.017417,0.477199,0.518613,-0.039176,0.466707,0.575102,-0.044274,0.462564,0.576614,-0.046387,0.439415,0.536547,-0.010420,0.437090,0.516174,-0.035847,0.435387,0.588827,-0.033691,0.436994,0.582702,-0.026636,0.404010,0.540525,-0.008782,0.398546,0.526695,-0.035686,0.405325,0.591293,-0.023014,0.410503,0.585707,-0.009279,0.370188,0.548506,-0.009582,0.366852,0.554504,-0.025042,0.376615,0.597997,-0.017521,0.382956,0.593991,-0.008559
A,0.395152,0.699604,-0.000000,0.436503,0.688195,-0.032470,0.480468,0.623373,-0.041035,0.494191,0.553546,-0.043664,0.511830,0.510620,-0.039751,0.462768,0.549607,-0.019514,0.461950,0.529777,-0.040139,0.453295,0.582457,-0.044242,0.447570,0.582411,-0.045614,0.427610,0.543363,-0.010973,0.421732,0.530287,-0.034492,0.422972,0.599508,-0.031883,0.425290,0.590821,-0.025092,0.394213,0.547787,-0.007814,0.385379,0.540340,-0.033789,0.393955,0.602543,-0.021819,0.399682,0.595255,-0.008941,0.361630,0.557113,-0.007244,0.355408,0.566410,-0.023050,0.365551,0.608329,-0.016514,0.372102,0.604029,-0.008319
A,0.402861,0.678684,-0.000000,0.442685,0.667553,-0.028508,0.483030,0.603571,-0.035433,0.495195,0.537305,-0.037223,0.511653,0.497618,-0.032903,0.464453,0.539400,-0.015845,0.463647,0.516691,-0.034650,0.454908,0.567158,-0.038201,0.450793,0.569209,-0.039131,0.432141,0.535606,-0.008145,0.427836,0.517325,-0.029955,0.428289,0.582013,-0.026972,0.430767,0.576941,-0.019908,0.401651,0.540234,-0.005377,0.394924,0.527535,-0.029122,0.402294,0.585830,-0.016932,0.407587,0.582011,-0.003891,0.371572,0.548143,-0.004888,0.367159,0.551346,-0.018598,0.376295,0.590786,-0.011408,0.382084,0.588533,-0.002899
A,0.397004,0.667468,-0.000000,0.435303,0.654662,-0.027579,0.472768,0.595394,-0.034760,0.484346,0.534977,-0.037146,0.500725,0.498657,-0.033774,0.452518,0.535879,-0.015516,0.453026,0.513771,-0.034624,0.445184,0.562033,-0.039083,0.441411,0.562759,-0.040544,0.421941,0.534041,-0.008600,0.417936,0.516207,-0.030581,0.418939,0.576938,-0.028477,0.421341,0.571469,-0.022126,0.393233,0.539457,-0.006519,0.386076,0.526572,-0.030493,0.393273,0.581261,-0.019216,0.398684,0.576317,-0.006703,0.365067,0.547505,-0.006572,0.359723,0.546588,-0.020285,0.368217,0.584241,-0.012813,0.373527,0.583946,-0.004093
A,0.405569,0.658788,-0.000000,0.442221,0.643985,-0.024040,0.476882,0.589117,-0.030786,0.488054,0.532833,-0.033608,0.503220,0.498600,-0.031081,0.457901,0.538275,-0.012057,0.456412,0.511557,-0.029868,0.449901,0.556923,-0.034638,0.450083,0.560447,-0.036111,0.429370,0.537154,-0.005573,0.424561,0.513957,-0.025581,0.424859,0.569060,-0.023585,0.429358,0.565353,-0.017549,0.402716,0.541010,-0.003439,0.396262,0.522141,-0.024200,0.400799,0.572001,-0.012283,0.407479,0.569940,0.000266,0.375911,0.545323,-0.003266,0.370822,0.538088,-0.013961,0.377184,0.573924,-0.005297,0.384060,0.577035,0.004028
A,0.418017,0.670504,-0.000000,0.451526,0.655308,-0.024042,0.481497,0.602735,-0.031754,0.492144,0.548426,-0.036123,0.507643,0.515942,-0.035665,0.464689,0.551992,-0.012062,0.459412,0.528744,-0.030663,0.454151,0.569999,-0.035984,0.455579,0.574873,-0.037604,0.436335,0.551305,-0.006527,0.427780,0.532524,-0.026548,0.429873,0.585463,-0.023618,0.436614,0.582704,-0.016839,0.410332,0.556259,-0.005675,0.400782,0.540727,-0.027569,0.407276,0.589006,-0.015748,0.415623,0.588588,-0.002833,0.385090,0.564031,-0.006916,0.377777,0.557243,-0.019725,0.385441,0.591249,-0.012053,0.392930,0.595382,-0.002926
A,0.422214,0.671917,-0.000000,0.455803,0.663069,-0.024752,0.489518,0.611765,-0.031033,0.501680,0.558777,-0.032945,0.516911,0.527328,-0.030154,0.473586,0.557792,-0.012973,0.471655,0.543564,-0.029596,0.463278,0.583476,-0.034712,0.463167,0.584698,-0.037077,0.447533,0.551622,-0.006041,0.439591,0.541232,-0.024694,0.438146,0.590693,-0.023232,0.444212,0.588384,-0.018341,0.422640,0.552915,-0.003500,0.412661,0.547611,-0.023116,0.416098,0.592723,-0.013593,0.424273,0.590892,-0.003513,0.398588,0.556866,-0.003083,0.390224,0.560847,-0.014277,0.394948,0.594144,-0.008538,0.402954,0.595997,-0.001766
A,0.429515,0.658203,-0.000000,0.462336,0.648519,-0.024054,0.495489,0.601063,-0.030952,0.507352,0.549660,-0.033881,0.522133,0.518877,-0.032010,0.479745,0.547423,-0.013084,0.478842,0.529705,-0.029967,0.470929,0.569760,-0.034368,0.468043,0.572667,-0.035631,0.453319,0.543272,-0.006760,0.447594,0.529826,-0.024972,0.447424,0.581209,-0.022474,0.451868,0.577484,-0.016688,0.428414,0.545400,-0.004775,0.420606,0.535125,-0.024852,0.425484,0.581567,-0.014445,0.432288,0.579500,-0.003286,0.403922,0.550424,-0.004753,0.397987,0.547665,-0.016357,0.403889,0.580524,-0.009476,0.409833,0.582874,-0.001499
A,0.425996,0.653058,-0.000000,0.459685,0.644833,-0.023396,0.492619,0.595044,-0.029801,0.503173,0.542735,-0.032411,0.517665,0.512196,-0.030257,0.475655,0.541818,-0.012648,0.474687,0.522648,-0.029591,0.467248,0.564120,-0.033870,0.465025,0.567261,-0.035079,0.448628,0.539289,-0.006628,0.443419,0.523298,-0.024923,0.443521,0.576028,-0.021929,0.447968,0.572966,-0.015615,0.423721,0.543226,-0.004927,0.416719,0.529813,-0.024731,0.421728,0.576815,-0.013401,0.428167,0.575331,-0.001562,0.399591,0.549512,-0.005172,0.393539,0.544183,-0.016291,0.399773,0.576363,-0.008825,0.405929,0.578114,-0.000485
A,0.419704,0.652231,-0.000000,0.452801,0.642943,-0.024782,0.485060,0.593572,-0.030985,0.496324,0.541784,-0.032955,0.511096,0.510038,-0.030430,0.471175,0.537712,-0.011734,0.467058,0.525636,-0.027810,0.460415,0.563389,-0.032938,0.459444,0.562176,-0.035287,0.444992,0.533407,-0.004735,0.435307,0.527010,-0.022027,0.436584,0.575399,-0.020528,0.442164,0.569299,-0.015800,0.419824,0.536050,-0.002218,0.408225,0.533752,-0.021408,0.413737,0.577255,-0.012677,0.421193,0.571864,-0.003075,0.395577,0.541534,-0.001800,0.386589,0.545903,-0.013168,0.392146,0.577406,-0.007751,0.398703,0.577239,-0.001033
A,0.420024,0.648882,-0.000000,0.451174,0.637613,-0.027464,0.480026,0.589747,-0.035104,0.489887,0.539087,-0.037934,0.504372,0.506994,-0.035534,0.467244,0.536012,-0.013911,0.456430,0.519197,-0.032792,0.452888,0.557461,-0.039378,0.457239,0.560631,-0.041610,0.440989,0.534105,-0.005316,0.426799,0.519934,-0.024813,0.429396,0.568349,-0.023038,0.438858,0.565709,-0.017192,0.416410,0.536942,-0.001673,0.402872,0.525357,-0.023035,0.408028,0.569674,-0.013411,0.419171,0.568979,-0.001934,0.393096,0.542360,-0.000389,0.382951,0.538403,-0.012942,0.388149,0.569079,-0.007205,0.397187,0.572529,0.000634
A,0.437643,0.643139,-0.000000,0.473644,0.618947,-0.016936,0.500259,0.559817,-0.020671,0.503229,0.503842,-0.022418,0.512738,0.469785,-0.019756,0.477097,0.519833,-0.005452,0.477281,0.491420,-0.020360,0.473713,0.534638,-0.023939,0.471572,0.542152,-0.025017,0.448947,0.522593,-0.002698,0.445623,0.500411,-0.018291,0.450220,0.552368,-0.015480,0.452638,0.550358,-0.009933,0.423998,0.532676,-0.003849,0.419106,0.515776,-0.020768,0.428287,0.560844,-0.009804,0.432353,0.558679,0.000974,0.399917,0.545484,-0.006533,0.396229,0.541640,-0.015015,0.406327,0.570651,-0.007148,0.410861,0.570220,0.000744
A,0.439218,0.642860,-0.000000,0.475710,0.618663,-0.016607,0.500696,0.557232,-0.020632,0.504553,0.501251,-0.023046,0.513036,0.465256,-0.021472,0.477630,0.513432,-0.007289,0.479979,0.487703,-0.023086,0.478523,0.531277,-0.027291,0.473007,0.539493,-0.028713,0.448496,0.515541,-0.005458,0.449303,0.499793,-0.021456,0.455815,0.551653,-0.019915,0.453847,0.547859,-0.015699,0.422439,0.527055,-0.007346,0.421990,0.516410,-0.025615,0.433715,0.562124,-0.016418,0.433933,0.559478,-0.006942,0.397878,0.542674,-0.010620,0.400008,0.544283,-0.021391,0.411766,0.573905,-0.015107,0.412525,0.573119,-0.008143
A,0.453356,0.642654,-0.000000,0.487110,0.607386,-0.015455,0.506033,0.541758,-0.020326,0.507154,0.489430,-0.023606,0.514434,0.452825,-0.022659,0.471615,0.493495,-0.008162,0.486474,0.479337,-0.022593,0.489444,0.523736,-0.025727,0.479075,0.529851,-0.027226,0.441748,0.498261,-0.007396,0.459832,0.495824,-0.023174,0.468473,0.546933,-0.023127,0.458739,0.542656,-0.020393,0.418929,0.516823,-0.009611,0.436594,0.520397,-0.027369,0.449808,0.562829,-0.020485,0.440690,0.560098,-0.013133,0.400421,0.539502,-0.013117,0.419240,0.551513,-0.025061,0.431843,0.576980,-0.021399,0.423804,0.574420,-0.016237
A,0.465476,0.640353,-0.000000,0.497015,0.598966,-0.010635,0.509809,0.531728,-0.014227,0.509004,0.481854,-0.017296,0.513953,0.445707,-0.017100,0.469561,0.487760,-0.006052,0.491444,0.473822,-0.020032,0.497537,0.516547,-0.024463,0.485974,0.525266,-0.027074,0.441822,0.495626,-0.007812,0.468495,0.493157,-0.021846,0.478775,0.540899,-0.022392,0.466468,0.541467,-0.020940,0.421653,0.517134,-0.011952,0.448108,0.519314,-0.027981,0.461193,0.559864,-0.021875,0.450030,0.561624,-0.015705,0.406716,0.543710,-0.016949,0.431852,0.551246,-0.027197,0.445227,0.574996,-0.022918,0.437096,0.576297,-0.017778
A,0.479491,0.627110,-0.000000,0.507392,0.587846,-0.011525,0.513635,0.520932,-0.015762,0.509092,0.473227,-0.019332,0.511782,0.436079,-0.020085,0.466859,0.480905,-0.006604,0.492834,0.466596,-0.021393,0.502398,0.507849,-0.028232,0.492172,0.520705,-0.032635,0.442789,0.491458,-0.008113,0.476070,0.488513,-0.021354,0.488603,0.531470,-0.023014,0.476223,0.535884,-0.023128,0.426406,0.515276,-0.012182,0.458902,0.512587,-0.027611,0.473680,0.550098,-0.022347,0.462972,0.555805,-0.017342,0.415090,0.544764,-0.017312,0.445531,0.546830,-0.027570,0.460600,0.568976,-0.023874,0.453807,0.573365,-0.019496
A,0.470417,0.637062,-0.000000,0.501558,0.597123,-0.011787,0.512684,0.527295,-0.015212,0.508849,0.476980,-0.017768,0.513824,0.440700,-0.017001,0.472331,0.485027,-0.005565,0.492060,0.470432,-0.020541,0.498861,0.514016,-0.026371,0.489613,0.522897,-0.029868,0.444987,0.495368,-0.006649,0.469967,0.491850,-0.022157,0.481134,0.538592,-0.023793,0.470720,0.541300,-0.022672,0.424704,0.517662,-0.010463,0.450700,0.518581,-0.027692,0.464775,0.558249,-0.022598,0.455210,0.561902,-0.016612,0.409472,0.544448,-0.015219,0.435675,0.550658,-0.025978,0.449308,0.574690,-0.022580,0.441628,0.577311,-0.017890
A,0.446983,0.648386,-0.000000,0.481944,0.618764,-0.016295,0.505408,0.554511,-0.020278,0.505824,0.499211,-0.022302,0.511324,0.462592,-0.019821,0.476500,0.510264,-0.007980,0.478762,0.487676,-0.023563,0.480392,0.533437,-0.027258,0.476551,0.539469,-0.028779,0.446785,0.515780,-0.006143,0.449112,0.499902,-0.022755,0.458497,0.553441,-0.020871,0.457101,0.550328,-0.016226,0.421668,0.530487,-0.007886,0.422371,0.520759,-0.025681,0.436979,0.565978,-0.015905,0.437859,0.562984,-0.006264,0.398913,0.548426,-0.011042,0.402272,0.553287,-0.021044,0.416463,0.581287,-0.014878,0.418156,0.577869,-0.008245
A,0.440344,0.647463,-0.000000,0.475449,0.628124,-0.019365,0.503598,0.568658,-0.023896,0.507507,0.510979,-0.025550,0.517827,0.476237,-0.022451,0.479020,0.523953,-0.010255,0.476747,0.494923,-0.027035,0.474596,0.540779,-0.031429,0.473814,0.548011,-0.032871,0.451353,0.527611,-0.006326,0.446693,0.503328,-0.024410,0.452275,0.556575,-0.022415,0.454775,0.555505,-0.017084,0.426640,0.537787,-0.006234,0.420040,0.518093,-0.025502,0.430277,0.565042,-0.014697,0.435101,0.563693,-0.003524,0.402609,0.550184,-0.007690,0.398036,0.544832,-0.018051,0.409090,0.575410,-0.010615,0.414796,0.575328,-0.002675
A,0.437803,0.645734,-0.000000,0.472316,0.629806,-0.023076,0.500266,0.573979,-0.029083,0.504243,0.516551,-0.031429,0.517148,0.481912,-0.028866,0.481053,0.525195,-0.011388,0.473237,0.498184,-0.029607,0.470001,0.541448,-0.034765,0.474511,0.549536,-0.036106,0.454127,0.527622,-0.005812,0.445396,0.504399,-0.025221,0.448684,0.554699,-0.023139,0.455936,0.553748,-0.017166,0.429811,0.535058,-0.004718,0.420029,0.514758,-0.026227,0.426308,0.560385,-0.015350,0.434987,0.559919,-0.003084,0.406029,0.545149,-0.005509,0.397793,0.533970,-0.017709,0.404910,0.565676,-0.010166,0.412001,0.569735,-0.001265
A,0.426090,0.641088,-0.000000,0.454301,0.631233,-0.028127,0.479252,0.581721,-0.036395,0.489011,0.529788,-0.040240,0.498360,0.493792,-0.039408,0.468264,0.523623,-0.011498,0.446857,0.508935,-0.029674,0.444781,0.544738,-0.035569,0.454332,0.549897,-0.036674,0.444676,0.523578,-0.002149,0.425499,0.512380,-0.020851,0.427890,0.557090,-0.018644,0.439143,0.554979,-0.011887,0.421921,0.528413,0.001972,0.404406,0.519484,-0.018834,0.408107,0.559969,-0.009399,0.419663,0.559593,0.002412,0.399677,0.535632,0.003582,0.385790,0.532118,-0.009252,0.389743,0.561480,-0.004154,0.399585,0.566340,0.003829
A,0.420764,0.642116,-0.000000,0.444683,0.633591,-0.035635,0.465641,0.584759,-0.047392,0.472245,0.532457,-0.053762,0.480123,0.494121,-0.055095,0.463132,0.520355,-0.014376,0.436100,0.504545,-0.037624,0.431956,0.540918,-0.047524,0.440835,0.552572,-0.049723,0.439770,0.520105,-0.001462,0.415644,0.510287,-0.024480,0.416227,0.554866,-0.024906,0.428193,0.557015,-0.018481,0.418346,0.525629,0.005146,0.397298,0.517992,-0.019825,0.398833,0.557666,-0.012182,0.412160,0.561715,0.000254,0.398552,0.533734,0.008626,0.381947,0.527364,-0.007051,0.384981,0.556411,-0.003127,0.396524,0.565056,0.005404
A,0.408948,0.621140,-0.000000,0.428067,0.613161,-0.028973,0.445910,0.569357,-0.038717,0.450693,0.525200,-0.043763,0.454619,0.497252,-0.045844,0.451098,0.527369,-0.021356,0.439667,0.507102,-0.044131,0.436753,0.510923,-0.054850,0.441638,0.500805,-0.059602,0.430126,0.521071,-0.013023,0.406978,0.507024,-0.037767,0.405368,0.547740,-0.038642,0.417467,0.554167,-0.033256,0.410760,0.521701,-0.009354,0.388731,0.510814,-0.035085,0.388203,0.549918,-0.026650,0.400469,0.557865,-0.014496,0.393623,0.527719,-0.008166,0.374842,0.521747,-0.025656,0.375807,0.550085,-0.021518,0.387116,0.558954,-0.013508
A,0.433861,0.632558,-0.000000,0.406592,0.628202,-0.005346,0.390762,0.604630,-0.008357,0.388187,0.578122,-0.010925,0.389707,0.557599,-0.012524,0.410001,0.589462,-0.003005,0.410099,0.575687,-0.008057,0.412747,0.579480,-0.012449,0.417496,0.585311,-0.014753,0.426292,0.580324,-0.002778,0.425004,0.562190,-0.006071,0.426158,0.555369,-0.009443,0.430142,0.551528,-0.011442,0.439715,0.574191,-0.003360,0.436879,0.548683,-0.008831,0.435897,0.531042,-0.011641,0.437474,0.517910,-0.012209,0.450524,0.569551,-0.003959,0.446557,0.542586,-0.008852,0.443868,0.525584,-0.009650,0.443193,0.512780,-0.008902
A,0.427597,0.638037,0.000000,0.398595,0.633788,-0.010009,0.383363,0.608333,-0.013775,0.381792,0.580142,-0.015825,0.384481,0.558460,-0.017296,0.413520,0.589435,-0.009169,0.422277,0.561487,-0.014090,0.428632,0.538710,-0.017634,0.434476,0.522739,-0.019599,0.427401,0.579033,-0.007278,0.430845,0.543884,-0.011245,0.432975,0.517045,-0.013339,0.436273,0.495541,-0.014276,0.436811,0.572233,-0.006573,0.435105,0.538091,-0.012476,0.434312,0.512897,-0.015172,0.434669,0.493075,-0.015654,0.442574,0.567123,-0.006561,0.438579,0.537374,-0.012798,0.436085,0.517754,-0.015030,0.434991,0.503060,-0.015374
A,0.394819,0.610985,-0.000000,0.409568,0.608815,-0.028557,0.423485,0.578966,-0.038911,0.428662,0.541699,-0.044078,0.432847,0.512842,-0.047053,0.436890,0.543419,-0.026279,0.437020,0.515106,-0.047975,0.435749,0.503721,-0.059697,0.438934,0.493958,-0.065895,0.422120,0.528292,-0.018246,0.403312,0.499934,-0.042982,0.393663,0.532946,-0.046960,0.401225,0.553410,-0.043720,0.406407,0.522282,-0.014011,0.386927,0.504093,-0.040171,0.380087,0.536677,-0.036355,0.390407,0.552739,-0.026947,0.393521,0.524416,-0.011873,0.375727,0.512551,-0.031131,0.371988,0.536982,-0.029792,0.380881,0.551287,-0.023642
A,0.433646,0.643177,0.000000,0.410630,0.635246,-0.021554,0.399455,0.609931,-0.032878,0.397292,0.585578,-0.040119,0.396715,0.563105,-0.046649,0.437673,0.594197,-0.032140,0.447928,0.558425,-0.046260,0.454033,0.529412,-0.056376,0.457612,0.504820,-0.062708,0.445700,0.587597,-0.026247,0.454789,0.549550,-0.039161,0.457552,0.517365,-0.046779,0.460557,0.488160,-0.051350,0.450222,0.581665,-0.021337,0.456717,0.544739,-0.032069,0.457809,0.513460,-0.036467,0.459847,0.485461,-0.038218,0.450327,0.577037,-0.018033,0.455128,0.547879,-0.026697,0.456771,0.524756,-0.029545,0.459643,0.504286,-0.030308
A,0.409787,0.633178,-0.000000,0.437045,0.622733,-0.032983,0.460171,0.573180,-0.043709,0.465014,0.518838,-0.049380,0.470546,0.479865,-0.050099,0.448066,0.514616,-0.014578,0.425129,0.495943,-0.035872,0.422314,0.533141,-0.043555,0.430814,0.544405,-0.044571,0.423842,0.515567,-0.002589,0.403804,0.500108,-0.024194,0.405410,0.546368,-0.023095,0.417362,0.547725,-0.015792,0.402393,0.520070,0.003629,0.383714,0.507293,-0.019753,0.386561,0.547000,-0.011094,0.399992,0.550128,0.001584,0.381929,0.526424,0.007007,0.366879,0.517386,-0.007493,0.370869,0.545464,-0.002942,0.382445,0.553406,0.005702
A,0.416608,0.634841,-0.000000,0.445745,0.620940,-0.027844,0.467378,0.569510,-0.036822,0.471051,0.513862,-0.041590,0.480661,0.476370,-0.041789,0.450951,0.512800,-0.011396,0.435274,0.495259,-0.029440,0.433659,0.532561,-0.035202,0.439916,0.541584,-0.035985,0.426029,0.514347,-0.002368,0.410728,0.501281,-0.019683,0.414057,0.546607,-0.017000,0.423126,0.544797,-0.010204,0.403418,0.520929,0.001475,0.389624,0.508663,-0.018709,0.394662,0.549146,-0.009262,0.405453,0.549836,0.002456,0.381939,0.530715,0.002912,0.368557,0.520822,-0.010031,0.374107,0.549487,-0.004638,0.384284,0.555964,0.003677
